,seed_url,timestamp,collection,title,contentLength
288,http://openlab.esev.ipv.pt/,20180718082939,AWP27,OpenLab ESEV,1507
289,http://openlab.esev.ipv.pt/,20180412002648,AWP26,OpenLab ESEV,1343
290,http://openlab.esev.ipv.pt/,20171211035131,AWP25,OpenLab ESEV | Projeto de Software Livre da ESEV,6508
291,http://openlab.esev.ipv.pt/,20170804115059,AWP24,OpenLab ESEV | Projeto de Software Livre da ESEV,6547
292,http://openlab.esev.ipv.pt/,20170220052225,AWP23,OpenLab ESEV | Projeto de Software Livre da ESEV,6517
293,http://openlab.esev.ipv.pt/,20161104060016,AWP22,OpenLab ESEV | Projeto de Software Livre da ESEV,6723
294,http://openlab.esev.ipv.pt/,20160603230312,AWP21,OpenLab ESEV | Projeto de Software Livre da ESEV,6769
295,http://openlab.esev.ipv.pt/,20160208221603,AWP20,OpenLab ESEV | Projeto de Software Livre da ESEV,6733
296,http://openlab.esev.ipv.pt/,20151121113002,AWP19,OpenLab ESEV | Projeto de Software Livre da ESEV,6732
297,http://openlab.esev.ipv.pt/,20150918153217,AWP18,OpenLab ESEV | Projecto de Software Livre da ESEV,7799
298,http://openlab.esev.ipv.pt/,20150419065006,AWP17,http://openlab.esev.ipv.pt/,7808
299,http://openlab.esev.ipv.pt/,20140927233200,AWP16,OpenLab ESEV | Projecto de Software Livre da ESEV,7804
300,http://openlab.esev.ipv.pt/,20131108053905,AWP15,OpenLab ESEV | Projecto de Software Livre da ESEV,9767
301,http://portal.ipt.pt/portal/portal/posgradslap,20191115135741,EAWP28,http://portal.ipt.pt/portal/portal/posgradslap,514
302,http://portal.ipt.pt/portal/portal/posgradSLAP,20150420043401,AWP17,Object moved,351
303,http://portal.ipt.pt/portal/portal/posgradSLAP,20140928111954,AWP16,IPT - Instituto Politécnico de Tomar,4220
304,http://portal.ipt.pt/portal/portal/posgradSLAP,20131106042849,AWP15,IPT - Instituto Politécnico de Tomar,4203
305,http://portal.ipt.pt/portal/portal/posgradSLAP,20120125225321,AWP12,IPT - Instituto Politécnico de Tomar,4116
306,http://portal.ipt.pt/portal/portal/posgradSLAP,20110701101751,AWP11,IPT - Instituto Politécnico de Tomar,4122
307,http://portal.ipt.pt/portal/portal/posgradSLAP,20110526165254,AWP10,IPT - Instituto Politécnico de Tomar,4157
308,http://portal.ipt.pt/portal/portal/posgradSLAP,20100805022911,AWP8,IPT - Instituto Politécnico de Tomar,4099
309,http://portal.ipt.pt/portal/portal/posgradSLAP,20100601180338,AWP7,IPT - Instituto Politécnico de Tomar,4027
310,http://moss.dcti.iscte.pt/,20230121102901,AWP43,http://moss.dcti.iscte.pt/,402
311,http://moss.dcti.iscte.pt/,20230121102857,AWP43,http://moss.dcti.iscte.pt/,402
312,http://moss.dcti.iscte.pt/,20230121102854,AWP43,http://moss.dcti.iscte.pt/,403
313,http://moss.dcti.iscte.pt/,20230121102846,AWP43,http://moss.dcti.iscte.pt/,403
314,http://moss.dcti.iscte.pt/,20230121102843,AWP43,http://moss.dcti.iscte.pt/,402
315,http://moss.dcti.iscte.pt/,20220730104246,AWP41,http://moss.dcti.iscte.pt/,403
316,http://moss.dcti.iscte.pt/,20220416230159,AWP40,http://moss.dcti.iscte.pt/,403
317,http://moss.dcti.iscte.pt/,20220416230155,AWP40,http://moss.dcti.iscte.pt/,402
318,http://moss.dcti.iscte.pt/,20220416230150,AWP40,http://moss.dcti.iscte.pt/,403
319,http://moss.dcti.iscte.pt/,20220416230139,AWP40,http://moss.dcti.iscte.pt/,401
320,http://moss.dcti.iscte.pt/,20220416230132,AWP40,http://moss.dcti.iscte.pt/,402
321,http://moss.dcti.iscte.pt/,20220122090711,AWP39,http://moss.dcti.iscte.pt/,403
322,http://moss.dcti.iscte.pt/,20220122090707,AWP39,http://moss.dcti.iscte.pt/,402
323,http://moss.dcti.iscte.pt/,20220122090702,AWP39,http://moss.dcti.iscte.pt/,403
324,http://moss.dcti.iscte.pt/,20220122090651,AWP39,http://moss.dcti.iscte.pt/,403
325,http://moss.dcti.iscte.pt/,20220122090637,AWP39,http://moss.dcti.iscte.pt/,402
326,http://moss.dcti.iscte.pt/,20210302130744,AWP36,http://moss.dcti.iscte.pt/,403
327,http://moss.dcti.iscte.pt/,20210302130740,AWP36,http://moss.dcti.iscte.pt/,403
328,http://moss.dcti.iscte.pt/,20210302130736,AWP36,http://moss.dcti.iscte.pt/,402
329,http://moss.dcti.iscte.pt/,20210302130727,AWP36,http://moss.dcti.iscte.pt/,403
330,http://moss.dcti.iscte.pt/,20210302130720,AWP36,http://moss.dcti.iscte.pt/,403
331,http://moss.dcti.iscte.pt/,20210116085915,EAWP36,http://moss.dcti.iscte.pt/,403
332,http://moss.dcti.iscte.pt/,20200909060847,AWP34,http://moss.dcti.iscte.pt/,401
333,http://moss.dcti.iscte.pt/,20200623105035,AWP33,http://moss.dcti.iscte.pt/,403
334,http://moss.dcti.iscte.pt/,20200623105030,AWP33,http://moss.dcti.iscte.pt/,402
335,http://www.softwarelivre.gov.pt/,20161106214552,AWP22,Software Livre Portugal - Software Livre na AP,7488
336,http://softwarelivre.gov.pt/,20161105063714,AWP22,Software Livre Portugal - Software Livre na AP,7491
337,http://www.softwarelivre.gov.pt/,20160606205344,AWP21,Software Livre Portugal - Software Livre na AP,7488
338,http://softwarelivre.gov.pt/,20160605035528,AWP21,Software Livre Portugal - Software Livre na AP,7487
339,http://www.softwarelivre.gov.pt/,20160211053528,AWP20,Software Livre Portugal - Software Livre na AP,7484
340,http://softwarelivre.gov.pt/,20160209211518,AWP20,Software Livre Portugal - Software Livre na AP,7498
341,http://www.softwarelivre.gov.pt/,20151125002717,AWP19,Software Livre Portugal - Software Livre na AP,7484
342,http://softwarelivre.gov.pt/,20151122203952,AWP19,Software Livre Portugal - Software Livre na AP,7489
343,http://www.softwarelivre.gov.pt/,20150914145128,AWP18,http://www.softwarelivre.gov.pt/,7488
344,http://softwarelivre.gov.pt/,20150910151457,AWP18,http://softwarelivre.gov.pt/,7499
345,http://www.softwarelivre.gov.pt/,20150424035616,AWP17,Software Livre Portugal - Software Livre na AP,7484
346,http://softwarelivre.gov.pt/,20150421130719,AWP17,Software Livre Portugal - Software Livre na AP,7492
347,http://www.softwarelivre.gov.pt/,20140930203806,AWP16,Software Livre Portugal - Software Livre na AP,7489
348,http://softwarelivre.gov.pt/,20140929064835,AWP16,Software Livre Portugal - Software Livre na AP,7490
349,http://www.softwarelivre.gov.pt/,20131107095543,AWP15,Software Livre Portugal - Software Livre na AP,7494
350,http://softwarelivre.gov.pt/,20131106084317,AWP15,Software Livre Portugal - Software Livre na AP,7499
351,http://www.softwarelivre.gov.pt/,20120123051711,AWP12,Software Livre Portugal - Software Livre na AP,7487
352,http://softwarelivre.gov.pt/,20120121145133,AWP12,Software Livre Portugal - Software Livre na AP,7488
353,http://www.softwarelivre.gov.pt/,20110703032643,AWP11,Software Livre Portugal - Software Livre na AP,7518
354,http://softwarelivre.gov.pt/,20110701133142,AWP11,Software Livre Portugal - Software Livre na AP,7523
355,http://www.softwarelivre.gov.pt/,20110621171531,EAWP2,Software Livre Portugal - Software Livre na AP,7486
356,http://softwarelivre.gov.pt/,20110621171531,EAWP2,Software Livre Portugal - Software Livre na AP,7487
357,http://www.softwarelivre.gov.pt/,20110522011946,AWP10,Software Livre Portugal - Software Livre na AP,7481
358,http://softwarelivre.gov.pt/,20110520194051,AWP10,Software Livre Portugal - Software Livre na AP,7486
359,http://www.softwarelivre.gov.pt/,20110122191641,AWP9,Software Livre Portugal - Software Livre na AP,7520
360,http://www.tos.ipb.pt/,20150510023213,AWP17,http://www.tos.ipb.pt/,340
361,http://www.tos.ipb.pt/,20141016003957,AWP16,http://www.tos.ipb.pt/,338
362,http://www.tos.ipb.pt/,20131107110644,AWP15,.:: TOS - Thinking Open Source ::.,2649
363,http://www.tos.ipb.pt/,20110122210444,AWP9,.:: TOS - Thinking Open Source ::.,2653
364,http://www.tos.ipb.pt/,20090625011546,AWP4,.:: TOS - Thinking Open Source ::.,2786
365,http://www.tos.ipb.pt/,20081022034224,AWP3,.:: TOS - Thinking Open Source ::.,2755
366,http://www.tos.ipb.pt/,20080314164448,AWP2,.:: TOS - Thinking Open Source ::.,2757
367,http://www.tos.ipb.pt/,20080215003156,AWP1,.:: TOS - Thinking Open Source ::.,2756
368,http://www.tos.ipb.pt:80/,20070814034146,IA,http://www.tos.ipb.pt:80/,2762
369,http://www.tos.ipb.pt:80/,20070608224302,IA,http://www.tos.ipb.pt:80/,2758
370,http://www.tos.ipb.pt:80/,20070101040502,IA,http://www.tos.ipb.pt:80/,2760
371,http://www.tos.ipb.pt:80/,20061005061152,IA,http://www.tos.ipb.pt:80/,2758
372,http://www.tos.ipb.pt:80/,20060822054206,IA,http://www.tos.ipb.pt:80/,2761
373,http://www.tos.ipb.pt:80/,20060615162536,IA,http://www.tos.ipb.pt:80/,2761
374,http://www.tos.ipb.pt/,20060218195019,Tomba,.:: TOS - Thinking Open Source ::.,2485
375,http://www.tos.ipb.pt:80/,20051222061812,IA,http://www.tos.ipb.pt:80/,2766
376,http://www.tos.ipb.pt:80/,20051218201711,IA,http://www.tos.ipb.pt:80/,2767
377,http://www.tos.ipb.pt:80/,20050825064042,IA,http://www.tos.ipb.pt:80/,2761
378,http://www.tos.ipb.pt:80/,20050731084603,IA,http://www.tos.ipb.pt:80/,2762
379,http://www.tos.ipb.pt/,20050719161617,Tomba,http://www.tos.ipb.pt/,2485
380,http://www.tos.ipb.pt/,20050621171128,Tomba,http://www.tos.ipb.pt/,2486
381,http://www.tos.ipb.pt/,20050531171415,Tomba,http://www.tos.ipb.pt/,2487
382,http://www.tos.ipb.pt/,20050416045808,Tomba,http://www.tos.ipb.pt/,2487
383,http://www.tos.ipb.pt:80/,20050403191719,IA,http://www.tos.ipb.pt:80/,2737
384,http://www.tos.ipb.pt:80/,20050306032915,IA,http://www.tos.ipb.pt:80/,2740
385,https://www.opensourcelisbon.com/,20231212170443,RAQ2023,https://www.opensourcelisbon.com/,1140
386,http://opensourcelisbon.com/,20230131181248,AWP43,http://opensourcelisbon.com/,756
387,http://www.opensourcelisbon.com/,20230131160035,AWP43,http://www.opensourcelisbon.com/,744
388,https://www.opensourcelisbon.com/,20230131160011,AWP43,https://www.opensourcelisbon.com/,911
389,http://www.opensourcelisbon.com/,20220812120227,AWP41,http://www.opensourcelisbon.com/,718
390,https://www.opensourcelisbon.com/,20220812120218,AWP41,https://www.opensourcelisbon.com/,906
391,http://opensourcelisbon.com/,20220501134554,AWP40,http://opensourcelisbon.com/,734
392,http://www.opensourcelisbon.com/,20220501124236,AWP40,http://www.opensourcelisbon.com/,824
393,https://www.opensourcelisbon.com/,20220501124223,AWP40,https://www.opensourcelisbon.com/,889
394,http://opensourcelisbon.com/,20220420160254,AWP40,http://opensourcelisbon.com/,723
