,full_url,capture_date,original_url
35,https://arquivo.pt/noFrame/replay/20151118031643/http://casa-viva.blogspot.pt/search/label/c%C3%B3digo%20aberto?updated-max/0752014-11-14T06:23:00-08:00/46max-results/07520/46start/07520/46by-date/75false,2.01511E+13,http://casa-viva.blogspot.pt/search/label/c%C3%B3digo%20aberto?updated-max/0752014-11-14T06:23:00-08:00/46max-results/07520/46start/07520/46by-date/75false
36,https://arquivo.pt/noFrame/replay/20151121202558/http://outubro.blogspot.pt/2012/07/codigo-aberto.html,2.01511E+13,http://outubro.blogspot.pt/2012/07/codigo-aberto.html
37,https://arquivo.pt/noFrame/replay/20190903224647/http://poesiaemcodigoaberto.blogspot.com/,2.01909E+13,http://poesiaemcodigoaberto.blogspot.com/
38,https://arquivo.pt/noFrame/replay/20160206170059/http://casa-viva.blogspot.pt/search/label/c%C3%B3digo%20aberto?updated-max/0752014-11-14T06:23:00-08:00/46max-results/07520/46start/07520/46by-date/75false,2.01602E+13,http://casa-viva.blogspot.pt/search/label/c%C3%B3digo%20aberto?updated-max/0752014-11-14T06:23:00-08:00/46max-results/07520/46start/07520/46by-date/75false
39,https://arquivo.pt/noFrame/replay/20170427175009/http://www.jornalmapa.pt/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.jornalmapa.pt%2F2017%2F04%2F27%2Fresistencia-codigo-aberto%2F&format=xml,2.01704E+13,http://www.jornalmapa.pt/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.jornalmapa.pt%2F2017%2F04%2F27%2Fresistencia-codigo-aberto%2F&format=xml
40,https://arquivo.pt/noFrame/replay/20170504175444/http://www.jornalmapa.pt/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.jornalmapa.pt%2F2017%2F04%2F27%2Fresistencia-codigo-aberto%2F&format=xml,2.01705E+13,http://www.jornalmapa.pt/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.jornalmapa.pt%2F2017%2F04%2F27%2Fresistencia-codigo-aberto%2F&format=xml
41,https://arquivo.pt/noFrame/replay/20170914203749/http://tek.sapo.pt/tag/codigo-aberto,2.01709E+13,http://tek.sapo.pt/tag/codigo-aberto
42,https://arquivo.pt/noFrame/replay/20170925211226/http://tek.sapo.pt/tag/codigo-aberto,2.01709E+13,http://tek.sapo.pt/tag/codigo-aberto
43,https://arquivo.pt/noFrame/replay/20080311215055/http://saber.sapo.pt/wiki/Opensource,2.00803E+13,http://saber.sapo.pt/wiki/Opensource
44,https://arquivo.pt/noFrame/replay/20080311223741/http://saber.sapo.pt/wiki/Open_source,2.00803E+13,http://saber.sapo.pt/wiki/Open_source
45,https://arquivo.pt/noFrame/replay/20191115042118/http://foradoeixo.org.br/tag/codigo-aberto/,2.01911E+13,http://foradoeixo.org.br/tag/codigo-aberto/
46,https://arquivo.pt/noFrame/replay/20170613095640/http://moss.dcti.iscte.pt/?feed=rss2,2.01706E+13,http://moss.dcti.iscte.pt/?feed=rss2
47,https://arquivo.pt/noFrame/replay/20081021111314/http://caca.com.pt/blog/?cat=3,2.0081E+13,http://caca.com.pt/blog/?cat=3
48,https://arquivo.pt/noFrame/replay/20160519063830/http://www.inovacaotecnologica.com.br/noticias/noticia.php?artigo=pilula-robotica-codigo-aberto&id=010180151112,2.01605E+13,http://www.inovacaotecnologica.com.br/noticias/noticia.php?artigo=pilula-robotica-codigo-aberto&id=010180151112
49,https://arquivo.pt/noFrame/replay/20200101173642/http://a-informacao.blogspot.com/search/label/c%C3%B3digo%20aberto?updated-max=2008-06-15T16:25:00-07:00&max-results=20&start=20&by-date=false,2.02001E+13,http://a-informacao.blogspot.com/search/label/c%C3%B3digo%20aberto?updated-max=2008-06-15T16:25:00-07:00&max-results=20&start=20&by-date=false
50,https://arquivo.pt/noFrame/replay/20090520134356/http://www.opensourcematters.org/,2.00905E+13,http://www.opensourcematters.org/
51,https://arquivo.pt/noFrame/replay/20170605123651/http://ez.no/ezpublish,2.01706E+13,http://ez.no/ezpublish
52,https://arquivo.pt/noFrame/replay/20170605175158/http://plone.org/,2.01706E+13,http://plone.org/
53,https://arquivo.pt/noFrame/replay/20090629215352/http://www.opensource.org/,2.00906E+13,http://www.opensource.org/
